Name,Accuracy,Precision,Recall,F1 score, ROC_AUC Score
logistic_regression_Base,0.89808,0.631776402175952,0.3721958227428445,0.46842837273991655,0.6712156502988078
logistic_regression_OverSampled,0.83628,0.4106648965593539,0.820422146093491,0.5473513473660928,0.8294389846781081
logistic_regression_UnderSampled,0.8400533333333333,0.4171119986499409,0.8194275610564703,0.5528218892119585,0.8311554569243474
logistic_regression_SMOTE,0.8496133333333333,0.43195410716465277,0.7821858768924743,0.55655592687242,0.8205253958767538
clf_Base,0.93292,0.7535335689045937,0.6598519173389324,0.7035880516113828,0.8151195114586582
clf_OverSampled,1.0,1.0,1.0,1.0,1.0
clf_UnderSampled,0.9017466666666667,0.5511633572907784,1.0,0.7106451486237091,0.9441327652347955
clf_SMOTE,0.9198666666666667,0.6364126043630487,0.7834014808266107,0.7022983950861899,0.8609961263816757
gb_Base,0.9258,0.7409405255878285,0.5919991159244116,0.6581485349222925,0.7817996216458497
gb_OverSampled,0.8621866666666667,0.4645435010193399,0.9317051607912477,0.6199720567688801,0.8921766694920742
gb_UnderSampled,0.8620533333333333,0.46427981272376756,0.931484141894132,0.6196882811351272,0.892005508954071
gb_SMOTE,0.892,0.5332539070712734,0.8408663940766935,0.652628870400549,0.8699411650752227
ada_Base,0.91848,0.7169895017004289,0.5358603160570229,0.6133316468504934,0.7534193848787487
ada_OverSampled,0.8595333333333334,0.4580983532596436,0.8976682506354293,0.6066240991747881,0.8759845855078557
ada_UnderSampled,0.8581466666666666,0.4555816292323165,0.9010940435407228,0.6051879615541619,0.8766739948261149
ada_SMOTE,0.8755066666666667,0.49033297529538133,0.8071610122665488,0.6100647316767592,0.8460226222497851
dt_gini_Base,0.9072266666666666,0.6132106118029237,0.6258150071831141,0.6194486983154671,0.7858267921542779
dt_gini_OverSampled,1.0,1.0,1.0,1.0,1.0
dt_gini_UnderSampled,0.8927466666666667,0.5293979991809513,1.0,0.6922959222706755,0.9390153295628573
dt_gini_SMOTE,0.8951733333333334,0.5518748361157242,0.6977566581942756,0.6163006344558322,0.810008562148949
dt_en_Base,0.9087733333333333,0.6196984488556243,0.6313404796110067,0.6254652945040508,0.7890898998561471
dt_en_OverSampled,1.0,1.0,1.0,1.0,1.0
dt_en_UnderSampled,0.8948933333333333,0.5344318450271675,1.0,0.6965859666679497,0.9402359327379418
dt_en_SMOTE,0.8950533333333334,0.551450034940601,0.6976461487457177,0.6159925842806264,0.8098926563352249
knn_Base,0.9075333333333333,0.6477495107632094,0.5121007846170847,0.5719928408319447,0.7369452991333063
knn_OverSampled,0.9127066666666667,0.5804191308819748,0.997789811028843,0.733915870757976,0.9494111979133237
knn_UnderSampled,0.8426666666666667,0.4291162071631023,0.9202121781412311,0.5852955647712097,0.876119492961383
knn_SMOTE,0.8533066666666667,0.44050447815755805,0.7989833130732678,0.5679051135024743,0.8298717872397318
gnb_Base,0.85932,0.43936702728887456,0.6013924190518289,0.5077676696990903,0.748051063887486
gnb_OverSampled,0.8123066666666666,0.37436281859070464,0.827826279146867,0.5155717677827868,0.8190017659778852
gnb_UnderSampled,0.8104266666666666,0.372060789069848,0.8305890153608133,0.5139145299145299,0.8191246239788706
gnb_SMOTE,0.7104533333333334,0.2684023841737668,0.8111393524146314,0.40334102648642706,0.7538888828910658
gnb_Base,0.85932,0.43936702728887456,0.6013924190518289,0.5077676696990903,0.748051063887486
gnb_OverSampled,0.8123066666666666,0.37436281859070464,0.827826279146867,0.5155717677827868,0.8190017659778852
gnb_UnderSampled,0.8104266666666666,0.372060789069848,0.8305890153608133,0.5139145299145299,0.8191246239788706
gnb_SMOTE,0.7104533333333334,0.2684023841737668,0.8111393524146314,0.40334102648642706,0.7538888828910658
bnb_Base,0.86016,0.359390267735001,0.20322687589788926,0.2596357475645913,0.5767616540487763
bnb_OverSampled,0.70804,0.2409468505524639,0.6602939551331639,0.35305935533429844,0.6874425454882208
bnb_UnderSampled,0.70804,0.2409468505524639,0.6602939551331639,0.35305935533429844,0.6874425454882208
bnb_SMOTE,0.7293466666666667,0.2521808088818398,0.6325560835451431,0.3606010016694491,0.6875915927422309
